stop,name_en,name_tc,name_sc,lat,long
90DC2AE9EBAF2658,EDE ROAD,義德道,义德道,22.340149,114.178327
4E037679702BBCBC,KAM SHING ROAD,金城道,金城道,22.339203,114.181225
AEBDE6434969EED9,KA KEUNG COURT,嘉強苑,嘉强苑,22.340844,114.184982
B1293E41AE9CB55F,WANG CHIU HOUSE,宏照樓,宏照楼,22.340757,114.187592
0095D35FB96EC6DF,CHAK ON ESTATE BUS TERMINUS,澤安邨巴士總站,泽安邨巴士总站,22.340478,114.164610
FDBA2A7F174E08F5,PAK TIN (NORTH) BUS TERMINUS,白田 (北) 巴士總站,白田 (北) 巴士总站,22.336429,114.168068
930E7A721D133F71,BLOCK 9 PAK TIN ESTATE,白田邨第9座,白田邨第9座,22.336923,114.165405
75832B86D4FA0C91,Pak Tin Public Transport Interchange,白田巴士總站,白田巴士总站,22.336188,114.165914
13757F4073A660F5,MEI YICK HOUSE SHEK KIP MEI ESTATE,石硤尾邨美益樓,石硖尾邨美益楼,22.334410,114.165061
598CB8743A812BCC,SHEK KIP MEI SHOPPING CENTRE,石硤尾商場,石硖尾商场,22.331741,114.166081
90C3A9DB72F244DE,SHEK KIP MEI STATION,石硤尾站,石硖尾站,22.331837,114.167987
81631C6B0F2D1843,MAN LOK HOUSE,民樂樓,民乐楼,22.331648,114.169578
7476BFC6F6B5D869,CONCORDIA LUTHERAN SCHOOL,協同中學,协同中学,22.330661,114.171935
F7FB52860229BBAB,TAI HANG TUNG RECREATION GROUND,大坑東遊樂場,大坑东游乐场,22.328210,114.172215
E4B6BF6D835723A0,EARL STREET,伯爵街,伯爵街,22.326435,114.180472
7CC71E7933DD9625,LA SALLE COLLEGE,喇沙書院,喇沙书院,22.328512,114.181843
D34CCDD12A1BC57F,LANCASHIRE ROAD,蘭開夏道,兰开夏道,22.329812,114.181880
EE3EA981F3D6485D,COLLEGE ROAD,書院道,书院道,22.329153,114.184761
F159C47896D53738,LION ROCK ROAD,獅子石道,狮子石道,22.329045,114.187875
0F38AE1F1CAFF245,NAM KOK ROAD,南角道,南角道,22.328990,114.189568
642A6178B23761B6,TAK KU LING ROAD,打鼓嶺道,打鼓岭道,22.329861,114.191437
87D6AA0759B66B69,TUNG TAU ESTATE,東頭邨,东头邨,22.333321,114.192796
A811A4AAF18AFAFF,LUNG MOON HOUSE,龍滿樓,龙满楼,22.337746,114.192361
20915DF05723C615,LUNG WAI HOUSE,龍慧樓,龙慧楼,22.340024,114.194140
302DF350591BF5EB,WONG TAI SIN BUS TERMINUS,黃大仙總站,黄大仙总站,22.340800,114.194990
168487E2C681CB0D,LUNG WING HOUSE,龍榮樓,龙荣楼,22.339271,114.193843
3942D55ED3DE84C9,MORSE PARK NO. 2,摩士第二公園,摩士第二公园,22.337576,114.192593
01ED81CCAEB03162,TUNG TSING ROAD,東正道,东正道,22.331596,114.192284
0BB21609A0E86B96,REGAL ORIENTAL HOTEL,富豪東方酒店,富豪东方酒店,22.329997,114.192799
2DF37AC3002CB750,NAM KOK ROAD,南角道,南角道,22.328812,114.189998
18CBF1D5C8C9C449,FUK LO TSUN ROAD,福佬村道,福佬村道,22.328897,114.187808
1CCCE3B2D9AB4D2A,COLLEGE ROAD,書院道,书院道,22.328972,114.184996
5C6ECA890BF03809,OXFORD ROAD,牛津道,牛津道,22.330165,114.181276
A926C2AC0071E407,KOWLOON TONG CLUB,九龍塘會,九龙塘会,22.329974,114.178761
AE88B3CCA11ACCDC,EMBANKMENT ROAD,基堤道,基堤道,22.325905,114.174204
8B2FD4BDD627C211,TAI HANG TUNG RECREATION GROUND,大坑東遊樂場,大坑东游乐场,22.328198,114.171990
0EF525CD78152127,CONCORDIA LUTHERAN SCHOOL,協同中學,协同中学,22.330064,114.171923
2F8A93ADDCEF6856,SHEK KIP MEI  STATION,石硤尾站,石硖尾站,22.331455,114.169457
A86896A010757F50,BLOCK 20 SHEK KIP MEI ESTATE,石硤尾邨第20座,石硖尾邨第20座,22.332431,114.166897
E21DB57F640DB6A8,BLOCK 23 SHEK KIP MEI ESTATE,石硤尾邨第23座,石硖尾邨第23座,22.333633,114.165358
24F689B494BA3F6B,ON TIN HOUSE PAK TIN ESTATE,白田邨安田樓,白田邨安田楼,22.335810,114.165463
C7A337AC40E14E19,"BLOCK 9, PAK TIN ESTATE",白田邨第9座,白田邨第9座,22.337012,114.165665
F8972DCAFDFD47A6,CHAK TIN HOUSE,澤田樓,泽田楼,22.336637,114.168054
36EE1028F547488D,FU TIN HOUSE PAK TIN ESTATE,白田邨富田樓,白田邨富田楼,22.336943,114.169137
C3427DE8E291FFA6,KOWLOON CITY FERRY BUS TERMINUS,九龍城碼頭巴士總站,九龙城码头巴士总站,22.318226,114.193132
F8D1049558163BE6,KWEI CHOW STREET,貴州街,贵州街,22.318125,114.191562
7703B0499F66B205,LOK SHAN ROAD,落山道,落山道,22.316802,114.190266
457C64EC8955C896,HUNG FOOK STREET,鴻福街,鸿福街,22.314364,114.187925
4A0370F0CA6A89B2,HOK YUEN STREET HUNG HOM,紅磡鶴園街,红磡鹤园街,22.310192,114.187749
997CCAB996935BD7,HUNG HOM MARKET,紅磡街市,红磡街市,22.307337,114.187135
6638A31332E98C83,WALKER ROAD,獲嘉道,获嘉道,22.308069,114.184561
5CCBD9A6B58BF20D,KOWLOON UNION CHURCH,九龍佑寧堂,九龙佑宁堂,22.305649,114.172574
E049C81469E2B3C0,PARKES STREET JORDAN,佐敦白加士街,佐敦白加士街,22.305172,114.170361
076E1E9D5874C41D,BATTERY STREET JORDAN,佐敦炮台街,佐敦炮台街,22.305524,114.168430
F2BD88B8D506E78A,FERRY STREET,渡船街,渡船街,22.307181,114.167159
16F899DA5289900D,YAN CHEUNG ROAD,欣翔道,欣翔道,22.308881,114.166179
B96E368FC17CD0B0,CHARMING GARDEN,富榮花園,富荣花园,22.314039,114.164201
420E7970087AD769,PARK AVENUE,柏景灣,柏景湾,22.316414,114.163641
520C9836ACAECDF9,FOO KWAI STREET,富貴街,富贵街,22.318849,114.161872
22FE13158B36FE48,COSMOPOLITAN ESTATE,大同新村,大同新村,22.321795,114.161866
67064412B0E9D9A6,FUK LEE STREET,福利街,福利街,22.323434,114.161776
F646F96A5D18D121,CHINESE PUBLIC DISPENSARY SHAM SHUI PO,深水埗公立醫局,深水埗公立医局,22.326978,114.161046
5B23A51CA34F4FAD,YU CHAU STREET,汝州街,汝州街,22.328681,114.162560
710390556FA80CAD,FUK WA STREET,福華街,福华街,22.330425,114.164174
AFE0100DABA53C21,WOH CHAI STREET,窩仔街,窝仔街,22.332483,114.166103
BBC5D60D2FB827D2,WONG TAI SHAN MEMORIAL COLLEGE,黃棣珊紀念中學,黄棣珊纪念中学,22.334875,114.168291
